Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
6947376,"2025-09-30 15:48:11",sell,0.25,EURUSD.sim,1.17383000,1.175,1.15745000,"2025-09-30 17:39:50",1.17500000,0,-1.26,-29.25000000,-0.00117,6699
6795641,"2025-09-29 15:43:51",buy,0.35,EURUSD.sim,1.17350000,1.1718,1.17780000,"2025-09-29 15:47:02",1.17375000,0,-1.76,8.75000000,0.00025,191
6795505,"2025-09-29 15:42:21",buy,0.35,GBPUSD.sim,1.34439000,1.3434,0.00000000,"2025-09-29 15:46:57",1.34462000,0,-1.76,8.05000000,0.00023,276
6680195,"2025-09-26 16:59:43",buy,0.5,EURUSD.sim,1.16891000,1.1689,1.17200000,"2025-09-26 18:39:24",1.16946000,0,-2.51,27.50000000,0.00055,5981
66685415116113,"2025-09-26 15:16:54",buy,0.25,GBPUSD.sim,1.33743670,1.3375,1.34100000,"2025-09-26 17:47:13",1.33983000,0,-1.255,59.83000000,0.00239,9019
66685415112978,"2025-09-26 15:16:54",buy,0.25,GBPUSD.sim,1.33743670,1.3377,1.34100000,"2025-09-26 17:18:44",1.33936000,0,-1.255,48.08000000,0.00192,7310
66685415109704,"2025-09-26 15:16:54",buy,0.25,GBPUSD.sim,1.33743670,1.3364,1.34000000,"2025-09-26 16:53:54",1.33820000,0,-1.255,19.08000000,0.00076,5820
6668541,"2025-09-26 15:16:54",buy,0.25,GBPUSD.sim,1.33574000,1.3359,1.34000000,"2025-09-26 16:22:30",1.33824000,0,-1.255,62.50000000,0.00250,3936
6668592,"2025-09-26 15:18:43",buy,0.5,EURUSD.sim,1.16789000,1.1674,1.17200000,"2025-09-26 16:22:20",1.16863000,0,-2.5,37.00000000,0.00074,3817
6649836,"2025-09-26 09:15:00",buy,0.5,EURUSD.sim,1.16813000,1.16666,1.17200000,"2025-09-26 13:47:02",1.16664000,0,-2.5,-74.50000000,-0.00149,16322
6550143,"2025-09-24 18:52:58",buy,0.5,GBPUSD.sim,1.34475000,1.344,0,"2025-09-24 19:49:33",1.34415000,0,-2.51,-30.00000000,-0.00060,3395
6553021,"2025-09-24 19:38:15",buy,0.5,EURUSD.sim,1.17339000,1.17325,0,"2025-09-24 19:48:50",1.17325000,0,-2.5,-7.00000000,-0.00014,635
65496314989679,"2025-09-24 18:44:28",buy,0.75,EURUSD.sim,1.17416170,1.173,0,"2025-09-24 19:36:02",1.17334000,0,-3.76,-61.63000000,-0.00082,3094
6549631,"2025-09-24 18:44:28",buy,0.5,EURUSD.sim,1.17429750,1.17315,0,"2025-09-24 19:11:01",1.17400000,0,-2.50333333,-14.88000000,-0.00030,1593
6547373,"2025-09-24 18:19:22",buy,1,EURUSD.sim,1.17416500,1.1731,0,"2025-09-24 18:38:59",1.17406000,0,-5,-10.50000000,-0.00011,1177
6547451,"2025-09-24 18:21:23",buy,0.75,GBPUSD.sim,1.34551270,1.3444,0,"2025-09-24 18:35:36",1.34471000,0,-3.755,-60.20000000,-0.00080,853
6547111,"2025-09-24 18:15:07",sell,0.5,EURUSD.sim,1.17395000,1.1747,0.00000000,"2025-09-24 18:19:11",1.17420000,0,-2.5,-12.50000000,-0.00025,244
6528648,"2025-09-24 15:19:57",buy,1,EURUSD.sim,1.17567000,1.17475,1.17775000,"2025-09-24 15:31:21",1.17477000,0,-5,-90.00000000,-0.00090,684
6507288,"2025-09-24 08:29:45",buy,0.25,GBPUSD.sim,1.35105000,1.3506,0.00000000,"2025-09-24 08:32:56",1.35070000,0,-1.26,-8.75000000,-0.00035,191
64856544931088,"2025-09-23 21:55:59",buy,1,EURUSD.sim,1.18107220,1.181,1.18900000,"2025-09-24 03:05:16",1.18100000,-10.49,-5,-7.22000000,-0.00007,18557
6488218,"2025-09-23 23:35:53",buy,1,EURGBP.sim,0.87361000,0.873,0.00000000,"2025-09-23 23:42:19",0.87360000,0,-5,-1.35000000,-0.00001,386
64856544928185,"2025-09-23 21:55:59",buy,0.5,EURUSD.sim,1.18107220,1.181,0,"2025-09-23 23:00:16",1.18171000,0,-2.5,31.89000000,0.00064,3857
6487619,"2025-09-23 22:47:01",buy,0.5,GBPUSD.sim,1.35249000,1.3518,0.00000000,"2025-09-23 22:50:39",1.35250000,0,-2.5,0.50000000,0.00001,218
6485654,"2025-09-23 21:55:59",buy,0.5,EURUSD.sim,1.18120330,1.1804,0,"2025-09-23 22:04:37",1.18123000,0,-2.5,1.33000000,0.00003,518
64686234925874,"2025-09-23 16:58:46",buy,1.5,EURUSD.sim,1.18138490,1.1812,1.18600000,"2025-09-23 21:53:01",1.18121000,0,-7.5,-26.24000000,-0.00017,17655
6485185,"2025-09-23 21:48:24",buy,0.5,GBPUSD.sim,1.35205000,1.3517,0.00000000,"2025-09-23 21:52:11",1.35170000,0,-2.5,-17.50000000,-0.00035,227
64686234925540,"2025-09-23 16:58:46",buy,0.5,EURUSD.sim,1.18087480,1.1804,1.18300000,"2025-09-23 21:41:37",1.18127000,0,-2.5,19.76000000,0.00040,16971
64686234925474,"2025-09-23 16:58:46",buy,1,EURUSD.sim,1.18087480,1.1806,1.18300000,"2025-09-23 21:37:25",1.18122000,0,-5,34.52000000,0.00035,16719
64686234925279,"2025-09-23 16:58:46",buy,0.25,EURUSD.sim,1.18040960,1.1804,1.18300000,"2025-09-23 21:25:04",1.18116000,0,-1.255,18.76000000,0.00075,15978
6484234,"2025-09-23 21:05:02",buy,0.5,GBPUSD.sim,1.35168000,1.3514,0,"2025-09-23 21:23:38",1.35140000,0,-2.5,-14.00000000,-0.00028,1116
6481684,"2025-09-23 20:04:02",buy,0.5,GBPUSD.sim,1.35225000,1.3519,0.00000000,"2025-09-23 20:19:58",1.35192000,0,-2.5,-16.50000000,-0.00033,956
64798244922207,"2025-09-23 19:35:13",buy,0.75,GBPUSD.sim,1.35211830,1.3514,0,"2025-09-23 20:02:14",1.35188000,0,-3.77,-17.88000000,-0.00024,1621
64686234921686,"2025-09-23 16:58:46",buy,0.25,EURUSD.sim,1.18007890,1.1789,0,"2025-09-23 19:51:01",1.18063000,0,-1.255,13.78000000,0.00055,10335
64686234920863,"2025-09-23 16:58:46",buy,0.25,EURUSD.sim,1.17961670,1.179,0,"2025-09-23 19:37:32",1.17981000,0,-1.255,4.83000000,0.00019,9526
6479824,"2025-09-23 19:35:13",buy,0.25,GBPUSD.sim,1.35177500,1.35,0.00000000,"2025-09-23 19:36:49",1.35081000,0,-1.26,-24.13000000,-0.00097,96
6479480,"2025-09-23 19:26:35",buy,0.5,GBPUSD.sim,1.35210000,1.3515,0.00000000,"2025-09-23 19:35:04",1.35150000,0,-2.5,-30.00000000,-0.00060,509
64686234918753,"2025-09-23 16:58:46",buy,0.25,EURUSD.sim,1.17961670,1.179,0,"2025-09-23 18:59:26",1.17986000,0,-1.255,6.08000000,0.00024,7240
64721384918397,"2025-09-23 17:21:51",buy,0.5,GBPUSD.sim,1.35157000,1.3508,0,"2025-09-23 18:51:19",1.35142000,0,-2.5,-7.50000000,-0.00015,5368
64721384916981,"2025-09-23 17:21:51",buy,0.25,GBPUSD.sim,1.35189000,1.3506,0,"2025-09-23 18:21:29",1.35184000,0,-1.255,-1.25000000,-0.00005,3578
64686234915483,"2025-09-23 16:58:46",buy,0.5,EURUSD.sim,1.17983000,1.1785,0,"2025-09-23 17:54:20",1.17965000,0,-2.5,-9.00000000,-0.00018,3334
6472138,"2025-09-23 17:21:51",buy,0.25,GBPUSD.sim,1.35172000,1.3512,0,"2025-09-23 17:49:50",1.35174000,0,-1.255,0.50000000,0.00002,1679
64686864913094,"2025-09-23 16:59:10",buy,0.75,GBPUSD.sim,1.35207500,1.3518,0,"2025-09-23 17:21:17",1.35177000,0,-3.77,-22.88000000,-0.00031,1327
6468686,"2025-09-23 16:59:10",buy,0.25,GBPUSD.sim,1.35150500,1.3507,0.00000000,"2025-09-23 17:10:32",1.35183000,0,-1.26,8.12000000,0.00033,682
6468623,"2025-09-23 16:58:46",buy,0.5,EURUSD.sim,1.18000000,1.1785,0,"2025-09-23 17:03:24",1.17977000,0,-2.5,-11.50000000,-0.00023,278
64612174904891,"2025-09-23 15:30:29",buy,1,EURUSD.sim,1.17971000,1.179,0,"2025-09-23 16:11:13",1.17966000,0,-5,-5.00000000,-0.00005,2444
64612174904658,"2025-09-23 15:30:29",buy,0.5,EURUSD.sim,1.17951000,1.1795,0,"2025-09-23 16:06:27",1.18032000,0,-2.5,40.50000000,0.00081,2158
6462760,"2025-09-23 16:01:23",buy,0.5,GBPUSD.sim,1.35310000,1.3523,0.00000000,"2025-09-23 16:05:53",1.35334000,0,-2.5,12.00000000,0.00024,270
6461217,"2025-09-23 15:30:29",buy,0.5,EURUSD.sim,1.17892000,1.1785,0,"2025-09-23 15:34:51",1.17913000,0,-2.5,10.50000000,0.00021,262
64555524898818,"2025-09-23 13:30:28",buy,0.75,EURUSD.sim,1.17964670,1.179,0,"2025-09-23 14:15:21",1.17952000,0,-3.755,-9.50000000,-0.00013,2693
6456581,"2025-09-23 14:03:28",buy,0.5,GBPUSD.sim,1.35139000,1.3512,0,"2025-09-23 14:13:49",1.35146000,0,-2.5,3.50000000,0.00007,621
6455552,"2025-09-23 13:30:28",buy,0.75,EURUSD.sim,1.17964670,1.17845,0,"2025-09-23 14:11:11",1.17990000,0,-3.755,19.00000000,0.00025,2443
6454742,"2025-09-23 13:16:00",buy,0.5,GBPUSD.sim,1.35130000,1.3498,1.35900000,"2025-09-23 13:56:18",1.35113000,0,-2.51,-8.50000000,-0.00017,2418
6452731,"2025-09-23 12:36:49",buy,1.5,EURUSD.sim,1.18046000,1.1784,1.20000000,"2025-09-23 13:25:38",1.17960000,0,-7.53,-129.00000000,-0.00086,2929
6444228,"2025-09-23 10:29:38",buy,0.75,EURUSD.sim,1.17873000,1.178,0.00000000,"2025-09-23 10:30:38",1.17933000,0,-3.76,45.00000000,0.00060,60
6346089,"2025-09-19 18:58:21",buy,0.5,EURUSD.sim,1.17517000,1.1744,0,"2025-09-19 19:06:21",1.17476000,0,-2.5,-20.50000000,-0.00041,480
6346192,"2025-09-19 19:00:39",buy,0.4,GBPUSD.sim,1.34848000,1.3474,0,"2025-09-19 19:06:16",1.34772000,0,-2,-30.40000000,-0.00076,337
6342343,"2025-09-19 17:57:51",buy,0.2,GBPUSD.sim,1.34822000,1.3463,1.35800000,"2025-09-19 18:41:45",1.34742000,0,-1,-16.00000000,-0.00080,2634
6342403,"2025-09-19 17:58:43",buy,0.75,EURUSD.sim,1.17481670,1.173,0.00000000,"2025-09-19 18:41:40",1.17423000,0,-3.77,-44.00000000,-0.00059,2577
6313624,"2025-09-19 09:42:18",buy,0.25,EURUSD.sim,1.17744000,1.1748,1.18800000,"2025-09-19 09:52:36",1.17675000,0,-1.26,-17.25000000,-0.00069,618
6169511,"2025-09-17 13:15:21",buy,0.5,EURUSD.sim,1.18354000,1.1835,1.19100000,"2025-09-17 21:08:57",1.19104000,0,-2.5,375.00000000,0.00750,28416
